timestamp,price,marketcap,volume24h

2025-03-10 23:00:01,79 618.51,1.57T,55.92B
2025-03-10 23:05:02,79 504.77,1.57T,55.55B
2025-03-10 23:10:50,79 435.43,1.57T,56B
2025-03-10 23:15:01,79 643.18,1.57T,55.1B
2025-03-10 23:20:01,79 283.33,1.57T,54.95B
2025-03-10 23:25:01,79 131.42,1.57T,53.67B
2025-03-10 23:30:02,79 173.70,1.57T,54.34B
